"parent","child","parentrated","childrated"
257,265,"Distrust","Distrust"
257,242,"Distrust","Trust"
257,104,"Distrust","Distrust"
257,60,"Distrust","Trust"
202,134,"Distrust","Distrust"
134,202,"Distrust","Trust"
37,219,"Distrust","Distrust"
219,37,"Distrust","Trust"
290,215,"Distrust","Distrust"
215,290,"Distrust","Trust"
284,283,"Trust","Distrust"
245,291,"Distrust","Trust"
291,245,"Distrust","Distrust"
292,202,"Distrust","Trust"
217,149,"Distrust","Distrust"
149,217,"Distrust","Trust"
224,257,"Distrust","Distrust"
224,60,"Distrust","Trust"
224,144,"Distrust","Distrust"
144,224,"Distrust","Trust"
224,171,"Distrust","Distrust"
171,224,"Distrust","Trust"
135,293,"Distrust","Distrust"
21,60,"Distrust","Trust"
199,104,"Distrust","Distrust"
7,294,"Distrust","Trust"
294,7,"Distrust","Distrust"
293,204,"Distrust","Trust"
204,293,"Distrust","Distrust"
231,28,"Distrust","Trust"
274,295,"Distrust","Distrust"
295,274,"Distrust","Trust"
202,292,"Distrust","Distrust"
249,64,"Distrust","Trust"
230,101,"Distrust","Distrust"
1,296,"Distrust","Trust"
64,249,"Distrust","Distrust"
229,297,"Distrust","Trust"
297,229,"Distrust","Distrust"
4,282,"Distrust","Trust"
282,4,"Distrust","Distrust"
298,299,"Distrust","Trust"
299,298,"Distrust","Distrust"
257,29,"Distrust","Trust"
271,202,"Distrust","Distrust"
202,271,"Distrust","Trust"
272,7,"Distrust","Distrust"
7,272,"Distrust","Trust"
37,301,"Distrust","Distrust"
301,37,"Distrust","Trust"
60,299,"Distrust","Distrust"
299,60,"Distrust","Trust"
29,302,"Distrust","Distrust"
135,303,"Distrust","Trust"
303,135,"Distrust","Distrust"
64,301,"Distrust","Trust"
301,64,"Distrust","Distrust"
214,60,"Distrust","Trust"
29,304,"Distrust","Distrust"
304,29,"Distrust","Trust"
7,254,"Distrust","Distrust"
254,7,"Distrust","Trust"
17,254,"Distrust","Distrust"
7,135,"Distrust","Trust"
284,21,"Distrust","Distrust"
282,305,"Distrust","Trust"
305,282,"Distrust","Distrust"
282,306,"Distrust","Trust"
306,282,"Distrust","Distrust"
60,229,"Distrust","Trust"
229,60,"Distrust","Distrust"
144,282,"Distrust","Trust"
282,144,"Distrust","Distrust"
206,307,"Distrust","Trust"
39,308,"Distrust","Distrust"
307,206,"Distrust","Trust"
1,180,"Distrust","Distrust"
180,1,"Distrust","Trust"
235,20,"Distrust","Distrust"
29,198,"Distrust","Trust"
198,29,"Distrust","Distrust"
198,60,"Distrust","Trust"
29,274,"Distrust","Distrust"
280,29,"Distrust","Trust"
274,29,"Distrust","Distrust"
29,280,"Distrust","Trust"
202,206,"Distrust","Distrust"
206,202,"Distrust","Trust"
274,204,"Distrust","Distrust"
204,274,"Distrust","Trust"
204,186,"Distrust","Distrust"
186,204,"Distrust","Trust"
7,266,"Distrust","Distrust"
60,223,"Trust","Trust"
257,279,"Distrust","Distrust"
15,167,"Distrust","Trust"
167,15,"Distrust","Distrust"
171,309,"Distrust","Trust"
309,171,"Distrust","Distrust"
310,282,"Distrust","Trust"
257,274,"Distrust","Distrust"
28,231,"Distrust","Trust"
202,204,"Distrust","Distrust"
204,202,"Distrust","Trust"
21,308,"Trust","Distrust"
1,311,"Distrust","Trust"
311,1,"Distrust","Distrust"
1,312,"Distrust","Trust"
312,1,"Distrust","Distrust"
60,312,"Distrust","Trust"
312,60,"Distrust","Distrust"
206,273,"Distrust","Trust"
273,206,"Distrust","Distrust"
304,93,"Distrust","Trust"
93,304,"Distrust","Distrust"
93,62,"Distrust","Trust"
312,221,"Distrust","Distrust"
21,93,"Trust","Trust"
93,21,"Trust","Distrust"
7,314,"Distrust","Trust"
257,314,"Distrust","Distrust"
7,249,"Distrust","Trust"
314,257,"Distrust","Distrust"
274,108,"Distrust","Trust"
254,17,"Distrust","Distrust"
41,233,"Distrust","Trust"
45,313,"Distrust","Distrust"
45,315,"Distrust","Trust"
60,202,"Distrust","Distrust"
64,316,"Distrust","Trust"
316,64,"Distrust","Distrust"
316,274,"Distrust","Trust"
64,317,"Distrust","Distrust"
317,64,"Distrust","Trust"
45,318,"Distrust","Distrust"
318,45,"Distrust","Trust"
319,284,"Distrust","Distrust"
76,110,"Distrust","Trust"
257,275,"Distrust","Distrust"
312,62,"Distrust","Trust"
62,312,"Distrust","Distrust"
313,45,"Trust","Trust"
284,319,"Distrust","Distrust"
320,60,"Distrust","Trust"
240,7,"Distrust","Distrust"
214,221,"Distrust","Trust"
221,214,"Distrust","Distrust"
108,7,"Distrust","Trust"
7,108,"Distrust","Distrust"
202,322,"Distrust","Trust"
322,202,"Distrust","Distrust"
314,7,"Distrust","Trust"
249,323,"Distrust","Distrust"
323,249,"Distrust","Trust"
215,324,"Distrust","Distrust"
7,219,"Distrust","Trust"
219,7,"Distrust","Distrust"
7,228,"Distrust","Trust"
228,7,"Distrust","Distrust"
324,215,"Distrust","Trust"
62,304,"Distrust","Distrust"
304,62,"Distrust","Trust"
62,325,"Distrust","Distrust"
62,202,"Distrust","Trust"
202,62,"Distrust","Distrust"
7,326,"Distrust","Trust"
326,7,"Distrust","Distrust"
62,285,"Distrust","Trust"
285,62,"Distrust","Distrust"
57,7,"Trust","Trust"
321,274,"Distrust","Distrust"
274,321,"Distrust","Trust"
274,327,"Distrust","Distrust"
327,274,"Distrust","Trust"
29,328,"Distrust","Distrust"
328,29,"Distrust","Trust"
322,329,"Distrust","Distrust"
329,322,"Distrust","Trust"
199,219,"Distrust","Distrust"
313,135,"Distrust","Trust"
321,202,"Distrust","Distrust"
202,321,"Distrust","Trust"
239,28,"Distrust","Distrust"
7,296,"Distrust","Trust"
257,334,"Distrust","Distrust"
257,338,"Distrust","Trust"
321,345,"Distrust","Distrust"
345,321,"Distrust","Trust"
345,346,"Distrust","Distrust"
202,289,"Distrust","Trust"
289,202,"Distrust","Distrust"
29,347,"Distrust","Trust"
29,186,"Distrust","Distrust"
186,29,"Distrust","Trust"
296,7,"Distrust","Distrust"
308,39,"Distrust","Trust"
308,21,"Distrust","Distrust"
308,1,"Distrust","Trust"
214,202,"Distrust","Distrust"
202,214,"Distrust","Trust"
101,315,"Distrust","Distrust"
257,268,"Trust","Trust"
249,349,"Distrust","Distrust"
349,249,"Distrust","Trust"
257,283,"Distrust","Distrust"
340,60,"Trust","Trust"
257,336,"Distrust","Distrust"
35,251,"Distrust","Trust"
251,35,"Distrust","Distrust"
239,219,"Distrust","Trust"
219,239,"Distrust","Distrust"
266,350,"Distrust","Trust"
350,266,"Distrust","Distrust"
7,4,"Distrust","Trust"
60,340,"Distrust","Distrust"
60,21,"Distrust","Trust"
324,204,"Distrust","Distrust"
346,345,"Distrust","Trust"
321,215,"Distrust","Distrust"
215,321,"Distrust","Trust"
62,293,"Distrust","Distrust"
293,62,"Distrust","Trust"
202,7,"Distrust","Distrust"
202,251,"Distrust","Trust"
352,4,"Distrust","Distrust"
7,202,"Distrust","Trust"
353,144,"Distrust","Distrust"
144,353,"Distrust","Trust"
7,354,"Distrust","Distrust"
354,7,"Distrust","Trust"
64,353,"Distrust","Distrust"
141,285,"Distrust","Trust"
350,353,"Distrust","Distrust"
353,350,"Distrust","Trust"
135,355,"Distrust","Distrust"
355,135,"Distrust","Trust"
202,356,"Distrust","Distrust"
356,202,"Distrust","Trust"
310,7,"Distrust","Distrust"
41,357,"Distrust","Trust"
285,141,"Distrust","Distrust"
324,202,"Distrust","Trust"
202,324,"Distrust","Distrust"
304,1,"Distrust","Trust"
353,304,"Distrust","Distrust"
304,353,"Distrust","Trust"
257,359,"Distrust","Distrust"
257,21,"Distrust","Trust"
346,257,"Distrust","Distrust"
204,324,"Distrust","Trust"
60,254,"Distrust","Distrust"
339,60,"Distrust","Trust"
1,139,"Distrust","Distrust"
139,202,"Distrust","Trust"
202,139,"Distrust","Distrust"
139,1,"Distrust","Trust"
219,359,"Distrust","Distrust"
359,257,"Distrust","Trust"
257,244,"Distrust","Distrust"
359,60,"Distrust","Trust"
270,135,"Distrust","Distrust"
135,270,"Distrust","Trust"
37,93,"Distrust","Distrust"
285,360,"Distrust","Trust"
285,7,"Distrust","Distrust"
7,134,"Distrust","Trust"
288,307,"Distrust","Distrust"
202,4,"Trust","Trust"
324,1,"Distrust","Distrust"
1,324,"Distrust","Trust"
144,366,"Distrust","Distrust"
249,367,"Distrust","Trust"
367,249,"Distrust","Distrust"
7,368,"Distrust","Trust"
368,7,"Distrust","Distrust"
254,60,"Distrust","Trust"
39,298,"Distrust","Distrust"
298,39,"Distrust","Trust"
325,62,"Distrust","Distrust"
358,7,"Distrust","Trust"
358,202,"Distrust","Distrust"
202,358,"Distrust","Trust"
228,293,"Distrust","Distrust"
249,62,"Distrust","Trust"
62,249,"Distrust","Distrust"
356,370,"Distrust","Trust"
370,356,"Distrust","Distrust"
249,371,"Distrust","Trust"
371,249,"Distrust","Distrust"
356,1,"Distrust","Trust"
1,356,"Distrust","Distrust"
372,257,"Distrust","Trust"
41,257,"Distrust","Distrust"
372,41,"Distrust","Trust"
41,372,"Distrust","Distrust"
293,296,"Distrust","Trust"
202,363,"Distrust","Distrust"
363,202,"Distrust","Trust"
257,295,"Distrust","Distrust"
41,265,"Distrust","Trust"
265,41,"Distrust","Distrust"
7,142,"Distrust","Trust"
149,17,"Distrust","Distrust"
17,149,"Distrust","Trust"
17,375,"Distrust","Distrust"
17,7,"Distrust","Trust"
29,62,"Distrust","Distrust"
62,29,"Distrust","Trust"
33,325,"Distrust","Distrust"
325,33,"Distrust","Trust"
339,257,"Distrust","Distrust"
202,377,"Distrust","Trust"
377,202,"Distrust","Distrust"
33,202,"Distrust","Trust"
202,33,"Distrust","Distrust"
41,201,"Distrust","Trust"
374,35,"Distrust","Distrust"
257,284,"Distrust","Trust"
366,346,"Distrust","Distrust"
346,366,"Distrust","Trust"
366,144,"Distrust","Distrust"
215,378,"Distrust","Trust"
378,215,"Distrust","Distrust"
322,379,"Distrust","Trust"
379,322,"Distrust","Distrust"
372,380,"Distrust","Trust"
380,372,"Distrust","Distrust"
6,219,"Distrust","Trust"
219,6,"Distrust","Distrust"
219,375,"Distrust","Trust"
273,141,"Distrust","Distrust"
285,60,"Distrust","Trust"
60,285,"Distrust","Distrust"
360,285,"Distrust","Trust"
309,382,"Distrust","Distrust"
382,309,"Distrust","Trust"
248,383,"Distrust","Distrust"
383,248,"Distrust","Trust"
178,384,"Distrust","Distrust"
384,178,"Distrust","Trust"
372,385,"Distrust","Distrust"
385,372,"Distrust","Trust"
134,7,"Distrust","Distrust"
386,348,"Distrust","Trust"
348,386,"Distrust","Distrust"
353,386,"Distrust","Trust"
386,353,"Distrust","Distrust"
386,387,"Distrust","Trust"
387,386,"Distrust","Distrust"
383,339,"Distrust","Trust"
339,383,"Distrust","Distrust"
148,388,"Distrust","Trust"
380,186,"Distrust","Distrust"
186,380,"Distrust","Trust"
346,171,"Distrust","Distrust"
143,380,"Distrust","Trust"
380,143,"Distrust","Distrust"
134,389,"Distrust","Trust"
389,134,"Distrust","Distrust"
134,390,"Distrust","Trust"
390,134,"Distrust","Distrust"
390,391,"Distrust","Trust"
391,390,"Distrust","Distrust"
257,392,"Distrust","Trust"
4,202,"Trust","Distrust"
4,125,"Distrust","Trust"
125,4,"Distrust","Distrust"
330,7,"Trust","Trust"
143,351,"Distrust","Distrust"
351,143,"Distrust","Trust"
393,7,"Distrust","Distrust"
393,342,"Distrust","Trust"
342,393,"Distrust","Distrust"
7,393,"Distrust","Trust"
342,395,"Trust","Distrust"
266,233,"Distrust","Trust"
77,396,"Distrust","Distrust"
396,77,"Distrust","Trust"
357,266,"Distrust","Distrust"
249,393,"Distrust","Trust"
357,347,"Distrust","Distrust"
393,249,"Distrust","Trust"
257,397,"Distrust","Distrust"
77,20,"Distrust","Trust"
77,308,"Distrust","Distrust"
7,159,"Distrust","Trust"
156,353,"Distrust","Distrust"
353,156,"Distrust","Trust"
346,399,"Distrust","Distrust"
4,19,"Trust","Trust"
399,346,"Distrust","Distrust"
347,202,"Distrust","Trust"
257,400,"Distrust","Distrust"
400,257,"Distrust","Trust"
57,401,"Distrust","Distrust"
401,57,"Distrust","Trust"
401,402,"Distrust","Distrust"
171,346,"Distrust","Trust"
402,401,"Distrust","Distrust"
393,387,"Distrust","Trust"
387,393,"Distrust","Distrust"
393,347,"Distrust","Trust"
347,393,"Distrust","Distrust"
80,403,"Distrust","Trust"
403,80,"Distrust","Distrust"
288,404,"Distrust","Trust"
404,288,"Distrust","Distrust"
215,288,"Distrust","Trust"
288,215,"Distrust","Distrust"
401,230,"Distrust","Trust"
230,401,"Distrust","Distrust"
347,405,"Distrust","Trust"
405,347,"Distrust","Distrust"
345,7,"Distrust","Trust"
7,345,"Distrust","Distrust"
235,348,"Distrust","Trust"
348,235,"Distrust","Distrust"
235,406,"Distrust","Trust"
406,235,"Distrust","Distrust"
64,407,"Distrust","Trust"
393,408,"Distrust","Distrust"
408,393,"Distrust","Trust"
4,2,"Trust","Distrust"
155,7,"Distrust","Trust"
7,155,"Distrust","Distrust"
198,230,"Distrust","Trust"
293,7,"Distrust","Distrust"
353,409,"Distrust","Trust"
409,353,"Distrust","Distrust"
410,198,"Distrust","Trust"
410,7,"Distrust","Distrust"
410,320,"Distrust","Trust"
410,201,"Trust","Distrust"
312,409,"Distrust","Trust"
409,312,"Distrust","Distrust"
198,330,"Distrust","Trust"
330,198,"Distrust","Distrust"
198,411,"Distrust","Trust"
411,198,"Distrust","Distrust"
257,177,"Distrust","Trust"
198,412,"Distrust","Distrust"
412,198,"Distrust","Trust"
198,2,"Trust","Distrust"
2,198,"Distrust","Trust"
320,410,"Distrust","Distrust"
298,412,"Distrust","Trust"
412,298,"Distrust","Distrust"
257,414,"Distrust","Trust"
257,415,"Distrust","Distrust"
414,60,"Distrust","Trust"
202,347,"Distrust","Distrust"
1,51,"Distrust","Trust"
412,392,"Distrust","Distrust"
1,384,"Distrust","Trust"
384,1,"Distrust","Distrust"
392,412,"Distrust","Trust"
239,37,"Distrust","Distrust"
37,239,"Distrust","Trust"
7,418,"Distrust","Distrust"
396,392,"Distrust","Trust"
418,7,"Distrust","Distrust"
392,396,"Distrust","Trust"
1,399,"Distrust","Distrust"
399,1,"Distrust","Trust"
418,104,"Distrust","Distrust"
149,64,"Distrust","Trust"
104,418,"Distrust","Distrust"
257,340,"Trust","Trust"
236,152,"Distrust","Distrust"
320,142,"Distrust","Trust"
142,320,"Distrust","Distrust"
356,104,"Distrust","Trust"
104,356,"Distrust","Distrust"
215,404,"Distrust","Trust"
404,215,"Distrust","Distrust"
259,219,"Distrust","Trust"
219,259,"Distrust","Distrust"
300,64,"Distrust","Trust"
64,300,"Distrust","Distrust"
270,421,"Distrust","Trust"
421,270,"Distrust","Distrust"
405,423,"Distrust","Trust"
423,405,"Distrust","Distrust"
257,372,"Trust","Trust"
333,257,"Distrust","Distrust"
387,401,"Distrust","Trust"
401,387,"Distrust","Distrust"
330,80,"Distrust","Trust"
80,330,"Distrust","Distrust"
257,341,"Distrust","Trust"
104,427,"Distrust","Distrust"
427,104,"Distrust","Trust"
353,202,"Distrust","Distrust"
202,353,"Distrust","Trust"
144,7,"Distrust","Distrust"
7,144,"Distrust","Trust"
350,347,"Distrust","Distrust"
256,428,"Distrust","Trust"
428,256,"Distrust","Distrust"
143,35,"Distrust","Trust"
283,428,"Distrust","Distrust"
350,77,"Distrust","Trust"
77,256,"Distrust","Distrust"
256,77,"Distrust","Trust"
428,283,"Distrust","Distrust"
77,350,"Distrust","Trust"
7,429,"Distrust","Distrust"
429,7,"Distrust","Trust"
77,125,"Distrust","Distrust"
125,77,"Distrust","Trust"
256,402,"Distrust","Distrust"
402,256,"Distrust","Trust"
371,35,"Distrust","Distrust"
347,350,"Distrust","Trust"
257,332,"Distrust","Distrust"
394,430,"Distrust","Trust"
257,339,"Distrust","Distrust"
366,410,"Distrust","Trust"
366,432,"Distrust","Distrust"
432,410,"Distrust","Trust"
423,421,"Distrust","Distrust"
421,423,"Distrust","Trust"
239,15,"Distrust","Distrust"
386,377,"Distrust","Trust"
383,423,"Distrust","Distrust"
423,383,"Distrust","Trust"
423,387,"Distrust","Distrust"
387,423,"Distrust","Trust"
270,7,"Distrust","Distrust"
353,433,"Distrust","Trust"
433,353,"Distrust","Distrust"
257,297,"Distrust","Trust"
215,434,"Distrust","Distrust"
45,435,"Distrust","Trust"
435,45,"Distrust","Distrust"
433,421,"Distrust","Trust"
421,433,"Distrust","Distrust"
286,80,"Distrust","Trust"
80,286,"Distrust","Distrust"
404,166,"Distrust","Trust"
166,404,"Distrust","Distrust"
405,433,"Distrust","Trust"
433,405,"Distrust","Distrust"
433,404,"Distrust","Trust"
404,433,"Distrust","Distrust"
7,293,"Distrust","Trust"
7,410,"Distrust","Distrust"
257,322,"Distrust","Trust"
198,288,"Distrust","Distrust"
178,181,"Distrust","Trust"
433,436,"Distrust","Distrust"
436,433,"Distrust","Trust"
288,198,"Distrust","Distrust"
181,178,"Distrust","Trust"
202,301,"Distrust","Distrust"
430,394,"Distrust","Trust"
301,202,"Distrust","Distrust"
393,203,"Distrust","Trust"
203,393,"Distrust","Distrust"
301,437,"Distrust","Trust"
437,301,"Distrust","Distrust"
1,438,"Distrust","Trust"
438,1,"Distrust","Distrust"
434,215,"Distrust","Trust"
7,270,"Distrust","Distrust"
15,297,"Distrust","Trust"
203,439,"Distrust","Distrust"
439,203,"Distrust","Trust"
404,51,"Distrust","Distrust"
404,308,"Distrust","Trust"
308,404,"Distrust","Distrust"
439,184,"Distrust","Trust"
257,105,"Trust","Distrust"
441,60,"Distrust","Trust"
1,442,"Distrust","Distrust"
320,443,"Distrust","Trust"
442,1,"Distrust","Distrust"
440,444,"Distrust","Trust"
443,320,"Distrust","Distrust"
444,440,"Distrust","Trust"
180,445,"Distrust","Distrust"
445,180,"Distrust","Trust"
257,310,"Distrust","Distrust"
443,410,"Distrust","Trust"
399,408,"Distrust","Distrust"
408,399,"Distrust","Trust"
325,353,"Distrust","Distrust"
353,325,"Distrust","Trust"
298,446,"Distrust","Distrust"
446,298,"Distrust","Trust"
1,144,"Distrust","Distrust"
144,1,"Distrust","Trust"
214,443,"Distrust","Distrust"
257,309,"Distrust","Trust"
443,214,"Distrust","Distrust"
378,203,"Distrust","Trust"
352,296,"Distrust","Distrust"
219,1,"Trust","Trust"
219,446,"Distrust","Distrust"
7,365,"Distrust","Trust"
365,7,"Distrust","Distrust"
446,219,"Distrust","Trust"
310,25,"Distrust","Distrust"
363,25,"Distrust","Trust"
1,219,"Distrust","Distrust"
436,448,"Distrust","Trust"
448,436,"Distrust","Distrust"
202,310,"Distrust","Trust"
7,449,"Distrust","Distrust"
449,7,"Distrust","Trust"
310,202,"Distrust","Distrust"
1,47,"Distrust","Trust"
257,431,"Distrust","Distrust"
397,278,"Trust","Trust"
397,62,"Distrust","Distrust"
397,3,"Distrust","Trust"
397,257,"Distrust","Distrust"
320,1,"Distrust","Trust"
1,320,"Distrust","Distrust"
304,322,"Distrust","Trust"
322,304,"Distrust","Distrust"
297,15,"Distrust","Trust"
322,35,"Distrust","Distrust"
363,450,"Distrust","Trust"
450,363,"Distrust","Distrust"
254,296,"Distrust","Trust"
203,378,"Distrust","Distrust"
206,198,"Distrust","Trust"
198,285,"Distrust","Distrust"
285,198,"Distrust","Trust"
51,451,"Trust","Distrust"
451,51,"Trust","Trust"
451,452,"Distrust","Distrust"
452,451,"Distrust","Trust"
51,453,"Distrust","Distrust"
51,1,"Distrust","Trust"
384,51,"Distrust","Distrust"
453,51,"Distrust","Trust"
453,454,"Distrust","Distrust"
257,41,"Distrust","Trust"
198,455,"Distrust","Distrust"
443,456,"Distrust","Trust"
35,322,"Distrust","Distrust"
35,143,"Distrust","Trust"
35,374,"Distrust","Distrust"
35,353,"Distrust","Trust"
198,457,"Distrust","Distrust"
457,198,"Distrust","Trust"
198,421,"Distrust","Distrust"
421,198,"Distrust","Trust"
198,416,"Distrust","Distrust"
353,198,"Distrust","Trust"
198,353,"Distrust","Distrust"
416,198,"Distrust","Trust"
346,458,"Distrust","Distrust"
458,346,"Distrust","Trust"
443,459,"Distrust","Distrust"
456,443,"Distrust","Trust"
459,443,"Distrust","Distrust"
459,378,"Distrust","Trust"
375,460,"Distrust","Distrust"
460,375,"Distrust","Trust"
460,7,"Distrust","Distrust"
460,235,"Distrust","Trust"
460,439,"Distrust","Distrust"
438,464,"Distrust","Trust"
464,438,"Distrust","Distrust"
408,465,"Distrust","Trust"
405,256,"Distrust","Distrust"
256,405,"Distrust","Trust"
4,466,"Distrust","Distrust"
465,408,"Distrust","Trust"
427,441,"Distrust","Distrust"
441,427,"Distrust","Trust"
408,144,"Distrust","Distrust"
144,408,"Distrust","Trust"
466,4,"Distrust","Distrust"
441,345,"Distrust","Trust"
345,441,"Distrust","Distrust"
467,21,"Distrust","Trust"
21,467,"Distrust","Distrust"
467,468,"Distrust","Trust"
467,463,"Distrust","Distrust"
1,464,"Distrust","Trust"
7,460,"Distrust","Distrust"
408,469,"Distrust","Trust"
464,1,"Distrust","Distrust"
35,464,"Distrust","Trust"
468,134,"Distrust","Distrust"
134,468,"Distrust","Trust"
469,408,"Distrust","Distrust"
463,467,"Distrust","Trust"
463,468,"Distrust","Distrust"
468,463,"Distrust","Trust"
432,274,"Distrust","Distrust"
463,462,"Distrust","Trust"
462,463,"Distrust","Distrust"
408,470,"Distrust","Trust"
470,408,"Distrust","Distrust"
464,35,"Distrust","Trust"
45,62,"Distrust","Distrust"
257,312,"Distrust","Trust"
423,468,"Distrust","Distrust"
468,423,"Distrust","Trust"
468,467,"Distrust","Distrust"
51,404,"Distrust","Trust"
51,384,"Distrust","Distrust"
412,471,"Distrust","Trust"
471,412,"Distrust","Distrust"
350,472,"Distrust","Trust"
202,441,"Distrust","Distrust"
441,202,"Distrust","Trust"
1,431,"Distrust","Distrust"
431,1,"Distrust","Trust"
472,350,"Distrust","Distrust"
7,473,"Distrust","Trust"
427,467,"Distrust","Distrust"
473,7,"Distrust","Trust"
257,369,"Distrust","Distrust"
463,425,"Distrust","Trust"
425,463,"Distrust","Distrust"
235,455,"Distrust","Trust"
455,235,"Distrust","Distrust"
257,417,"Distrust","Trust"
459,475,"Distrust","Distrust"
401,476,"Distrust","Trust"
248,197,"Distrust","Distrust"
401,383,"Distrust","Trust"
383,401,"Distrust","Distrust"
468,386,"Distrust","Trust"
386,468,"Distrust","Distrust"
249,7,"Distrust","Trust"
257,264,"Distrust","Distrust"
405,477,"Distrust","Trust"
256,469,"Distrust","Distrust"
469,256,"Distrust","Trust"
406,257,"Distrust","Distrust"
425,478,"Distrust","Trust"
393,405,"Distrust","Distrust"
405,393,"Distrust","Trust"
478,425,"Distrust","Distrust"
424,7,"Distrust","Trust"
7,424,"Distrust","Distrust"
393,479,"Distrust","Trust"
479,393,"Distrust","Distrust"
409,148,"Distrust","Trust"
148,409,"Distrust","Distrust"
257,376,"Trust","Trust"
257,373,"Distrust","Distrust"
477,405,"Distrust","Trust"
479,477,"Distrust","Distrust"
477,479,"Distrust","Trust"
257,269,"Distrust","Distrust"
257,420,"Trust","Trust"
144,401,"Distrust","Distrust"
435,480,"Distrust","Trust"
480,435,"Distrust","Distrust"
322,479,"Distrust","Trust"
479,322,"Distrust","Distrust"
401,144,"Distrust","Trust"
398,346,"Distrust","Distrust"
224,462,"Distrust","Trust"
346,398,"Distrust","Distrust"
7,310,"Distrust","Trust"
7,481,"Distrust","Distrust"
481,7,"Distrust","Trust"
394,393,"Distrust","Distrust"
393,394,"Distrust","Trust"
257,250,"Distrust","Distrust"
257,214,"Distrust","Trust"
423,4,"Distrust","Distrust"
405,198,"Distrust","Trust"
322,310,"Distrust","Distrust"
454,453,"Distrust","Trust"
454,101,"Distrust","Distrust"
408,454,"Distrust","Trust"
454,408,"Distrust","Distrust"
383,482,"Distrust","Trust"
482,383,"Distrust","Distrust"
64,186,"Distrust","Trust"
186,64,"Distrust","Distrust"
378,7,"Distrust","Trust"
7,378,"Distrust","Distrust"
462,483,"Distrust","Trust"
421,472,"Distrust","Distrust"
399,484,"Distrust","Trust"
484,399,"Distrust","Distrust"
408,387,"Distrust","Trust"
387,408,"Distrust","Distrust"
6,198,"Distrust","Trust"
387,472,"Distrust","Distrust"
484,228,"Distrust","Trust"
228,484,"Distrust","Distrust"
383,348,"Distrust","Trust"
348,383,"Distrust","Distrust"
304,485,"Distrust","Trust"
485,304,"Distrust","Distrust"
1,486,"Distrust","Trust"
486,1,"Trust","Distrust"
383,487,"Distrust","Trust"
202,60,"Distrust","Distrust"
468,488,"Distrust","Trust"
488,468,"Distrust","Distrust"
468,489,"Distrust","Trust"
489,468,"Distrust","Distrust"
21,490,"Trust","Trust"
412,77,"Distrust","Distrust"
77,412,"Distrust","Trust"
64,256,"Distrust","Distrust"
256,64,"Distrust","Trust"
489,132,"Distrust","Distrust"
132,489,"Distrust","Trust"
1,416,"Distrust","Distrust"
64,104,"Trust","Trust"
416,1,"Distrust","Distrust"
350,489,"Distrust","Trust"
489,350,"Distrust","Distrust"
350,492,"Distrust","Trust"
492,350,"Distrust","Distrust"
132,202,"Distrust","Trust"
202,132,"Distrust","Distrust"
198,472,"Distrust","Trust"
144,57,"Distrust","Distrust"
57,144,"Distrust","Trust"
472,198,"Distrust","Distrust"
472,399,"Distrust","Trust"
472,412,"Distrust","Distrust"
387,493,"Distrust","Trust"
440,7,"Distrust","Distrust"
493,387,"Distrust","Trust"
7,440,"Distrust","Distrust"
132,7,"Trust","Trust"
494,386,"Distrust","Distrust"
386,494,"Distrust","Trust"
7,489,"Distrust","Distrust"
489,7,"Distrust","Trust"
7,447,"Distrust","Distrust"
171,493,"Distrust","Trust"
493,171,"Distrust","Distrust"
447,7,"Distrust","Trust"
455,4,"Distrust","Distrust"
198,443,"Distrust","Trust"
443,198,"Distrust","Distrust"
64,492,"Distrust","Trust"
484,280,"Distrust","Distrust"
280,484,"Distrust","Trust"
280,495,"Distrust","Distrust"
495,280,"Distrust","Trust"
280,443,"Distrust","Distrust"
443,280,"Distrust","Trust"
476,425,"Distrust","Distrust"
425,476,"Distrust","Trust"
427,163,"Distrust","Distrust"
476,401,"Distrust","Trust"
163,164,"Distrust","Distrust"
163,427,"Distrust","Trust"
425,181,"Distrust","Distrust"
462,496,"Distrust","Trust"
7,383,"Distrust","Distrust"
383,7,"Distrust","Trust"
383,497,"Distrust","Distrust"
497,383,"Distrust","Trust"
202,447,"Distrust","Distrust"
111,499,"Trust","Trust"
499,111,"Trust","Distrust"
111,104,"Distrust","Trust"
36,500,"Distrust","Distrust"
198,499,"Distrust","Trust"
499,198,"Distrust","Distrust"
447,202,"Distrust","Trust"
104,499,"Distrust","Distrust"
104,111,"Distrust","Trust"
104,296,"Distrust","Distrust"
104,64,"Distrust","Trust"
144,484,"Distrust","Distrust"
484,144,"Distrust","Trust"
104,462,"Distrust","Distrust"
500,36,"Distrust","Trust"
500,274,"Distrust","Distrust"
494,476,"Distrust","Trust"
476,494,"Distrust","Distrust"
35,458,"Distrust","Trust"
458,35,"Distrust","Distrust"
443,501,"Distrust","Trust"
501,443,"Distrust","Distrust"
490,21,"Trust","Trust"
490,104,"Distrust","Distrust"
476,472,"Distrust","Trust"
494,472,"Distrust","Distrust"
427,463,"Distrust","Trust"
399,472,"Distrust","Distrust"
425,472,"Distrust","Trust"
280,502,"Distrust","Distrust"
502,280,"Distrust","Trust"
64,288,"Distrust","Distrust"
64,491,"Distrust","Trust"
491,64,"Distrust","Distrust"
288,64,"Distrust","Trust"
163,318,"Distrust","Distrust"
318,163,"Distrust","Trust"
64,503,"Distrust","Distrust"
427,503,"Distrust","Trust"
503,64,"Distrust","Distrust"
503,427,"Distrust","Trust"
